_id,no2,pm25,pm10,temperature,humidity,timestamp
6929bff0d59172f1e18b844c,46.97,0.5,0.9,24.9,51.1,2025-11-28 22:29:52
6929c004d59172f1e18b844d,47.43,0.8,1.4,24.9,51.4,2025-11-28 22:30:12
692a4e5b9e8a10ab3f8c4402,64.68,2.0,2.2,27.8,77.0,2025-11-29 08:37:32
692a4e6f9e8a10ab3f8c4403,63.21,1.2,2.8,27.8,77.0,2025-11-29 08:37:52
692a4e839e8a10ab3f8c4404,64.87,1.2,2.5,27.9,77.0,2025-11-29 08:38:12
692a4e979e8a10ab3f8c4405,63.95,1.8,2.4,27.9,76.9,2025-11-29 08:38:32
692a4eab9e8a10ab3f8c4406,63.76,2.9,9.4,27.8,77.0,2025-11-29 08:38:52
692a4ebf9e8a10ab3f8c4407,64.78,2.0,2.2,27.9,77.0,2025-11-29 08:39:12
692a4ed39e8a10ab3f8c4408,63.58,2.5,4.6,27.9,76.9,2025-11-29 08:39:32
692a4ee79e8a10ab3f8c4409,63.95,1.5,2.0,27.9,77.0,2025-11-29 08:39:52
692a4efb9e8a10ab3f8c440a,64.96,1.7,2.1,27.9,77.0,2025-11-29 08:40:12
692a4f0f9e8a10ab3f8c440b,64.68,2.3,3.6,27.9,77.0,2025-11-29 08:40:32
692a4f239e8a10ab3f8c440c,64.31,1.6,1.7,27.9,77.0,2025-11-29 08:40:52
692a4f379e8a10ab3f8c440d,63.21,0.9,1.4,27.9,77.1,2025-11-29 08:41:12
692a4f4b9e8a10ab3f8c440e,63.4,1.8,2.8,27.9,77.1,2025-11-29 08:41:32
692a4f5f9e8a10ab3f8c440f,62.94,2.7,3.2,27.9,77.1,2025-11-29 08:41:52
692a4f739e8a10ab3f8c4410,63.21,1.2,1.3,27.9,77.1,2025-11-29 08:42:12
692a4f879e8a10ab3f8c4411,64.59,2.9,3.2,27.9,77.1,2025-11-29 08:42:32
692a4f9b9e8a10ab3f8c4412,63.4,5.8,10.5,27.8,77.1,2025-11-29 08:42:52
692a4faf9e8a10ab3f8c4413,63.31,1.1,1.6,27.9,77.2,2025-11-29 08:43:12
692a4fc39e8a10ab3f8c4414,63.76,1.4,1.7,27.9,77.1,2025-11-29 08:43:32
692a4fd79e8a10ab3f8c4415,65.05,1.4,2.8,27.8,77.2,2025-11-29 08:43:52
692a4feb9e8a10ab3f8c4416,63.58,1.5,2.0,27.9,77.2,2025-11-29 08:44:12
692a4fff9e8a10ab3f8c4417,63.85,1.6,8.0,27.9,77.1,2025-11-29 08:44:32
692a50139e8a10ab3f8c4418,64.41,1.9,2.8,27.8,77.2,2025-11-29 08:44:52
692a50279e8a10ab3f8c4419,64.78,1.5,3.5,27.8,77.2,2025-11-29 08:45:12
692a503b9e8a10ab3f8c441a,64.78,1.8,3.8,27.9,77.2,2025-11-29 08:45:32
692a504f9e8a10ab3f8c441b,64.5,3.3,6.0,27.9,77.2,2025-11-29 08:45:52
692a50639e8a10ab3f8c441c,65.43,2.7,2.9,27.9,77.2,2025-11-29 08:46:12
692a50779e8a10ab3f8c441d,64.31,3.4,4.4,27.9,77.2,2025-11-29 08:46:32
692a508b9e8a10ab3f8c441e,65.24,2.2,3.4,27.9,77.2,2025-11-29 08:46:52
692a509f9e8a10ab3f8c441f,65.61,3.8,4.2,27.9,77.3,2025-11-29 08:47:12
692a50b39e8a10ab3f8c4420,64.78,3.0,3.2,27.9,77.3,2025-11-29 08:47:32
692a5e9b9e8a10ab3f8c4421,49.57,2.6,2.9,28.3,77.0,2025-11-29 09:46:52
692a5eaf9e8a10ab3f8c4422,48.8,1.8,1.9,28.3,76.9,2025-11-29 09:47:12
692a5ec39e8a10ab3f8c4423,48.72,1.5,1.6,28.3,77.0,2025-11-29 09:47:32
692a5ed79e8a10ab3f8c4424,48.26,2.5,2.8,28.2,76.9,2025-11-29 09:47:52
692a5eeb9e8a10ab3f8c4425,47.73,1.2,2.0,28.2,76.9,2025-11-29 09:48:12
692a5eff9e8a10ab3f8c4426,47.2,1.5,2.1,28.3,76.9,2025-11-29 09:48:32
692a5f139e8a10ab3f8c4427,47.43,1.9,2.2,28.2,76.8,2025-11-29 09:48:52
692a5f279e8a10ab3f8c4428,47.73,1.7,1.9,28.3,76.8,2025-11-29 09:49:12
692a5f3b9e8a10ab3f8c4429,48.19,1.4,1.7,28.3,76.8,2025-11-29 09:49:32
692a5f4f9e8a10ab3f8c442a,46.82,1.3,4.6,28.3,76.8,2025-11-29 09:49:52
692a5f639e8a10ab3f8c442b,46.6,2.4,4.6,28.3,76.8,2025-11-29 09:50:12
692a5f779e8a10ab3f8c442c,46.6,1.4,2.1,28.3,76.8,2025-11-29 09:50:32
692a5f8b9e8a10ab3f8c442d,47.43,2.5,3.5,28.3,76.8,2025-11-29 09:50:52
692a5f9f9e8a10ab3f8c442e,47.73,1.5,2.2,28.3,76.8,2025-11-29 09:51:12
692a5fb39e8a10ab3f8c442f,46.82,2.2,3.2,28.3,76.8,2025-11-29 09:51:32
692a5fc79e8a10ab3f8c4430,46.97,2.3,3.9,28.3,76.7,2025-11-29 09:51:52
692a5fdb9e8a10ab3f8c4431,46.97,1.5,1.9,28.3,76.8,2025-11-29 09:52:12
692a5fef9e8a10ab3f8c4432,46.97,2.2,2.6,28.3,76.7,2025-11-29 09:52:32
692a60039e8a10ab3f8c4433,47.05,1.4,2.4,28.3,76.6,2025-11-29 09:52:52
692a60179e8a10ab3f8c4434,46.9,1.3,1.6,28.3,76.7,2025-11-29 09:53:12
692a602b9e8a10ab3f8c4435,46.0,1.6,2.4,28.3,76.6,2025-11-29 09:53:32
692a603f9e8a10ab3f8c4436,44.32,2.6,4.1,28.3,76.6,2025-11-29 09:53:52
692a60539e8a10ab3f8c4437,46.08,1.9,2.6,28.3,76.7,2025-11-29 09:54:12
692a60679e8a10ab3f8c4438,46.75,1.4,2.0,28.3,76.6,2025-11-29 09:54:32
692a607b9e8a10ab3f8c4439,46.15,1.6,4.2,28.3,76.6,2025-11-29 09:54:52
692a608f9e8a10ab3f8c443a,45.49,1.5,1.7,28.3,76.6,2025-11-29 09:55:12
692a60a39e8a10ab3f8c443b,45.71,2.6,3.0,28.3,76.6,2025-11-29 09:55:32
692a60b79e8a10ab3f8c443c,45.49,1.1,2.3,28.3,76.5,2025-11-29 09:55:52
692a60cb9e8a10ab3f8c443d,46.15,2.5,6.8,28.3,76.5,2025-11-29 09:56:12
692a60df9e8a10ab3f8c443e,45.93,2.0,2.5,28.3,76.5,2025-11-29 09:56:32
692a60f39e8a10ab3f8c443f,44.9,1.0,1.5,28.3,76.5,2025-11-29 09:56:52
692a61079e8a10ab3f8c4440,46.08,1.0,1.9,28.3,76.5,2025-11-29 09:57:12
692a6e3b9e8a10ab3f8c4441,77.43,1.8,2.1,28.9,75.0,2025-11-29 10:53:32
692a6e4f9e8a10ab3f8c4442,77.43,1.1,1.2,28.9,74.9,2025-11-29 10:53:52
692a6e639e8a10ab3f8c4443,78.81,1.3,2.1,28.9,74.7,2025-11-29 10:54:12
692a6e779e8a10ab3f8c4444,79.34,2.2,15.9,28.9,74.6,2025-11-29 10:54:32
692a6e8b9e8a10ab3f8c4445,80.53,2.2,3.0,29.0,74.3,2025-11-29 10:54:52
692a6e9f9e8a10ab3f8c4446,80.1,1.8,2.4,29.0,74.5,2025-11-29 10:55:12
692a6eb39e8a10ab3f8c4447,82.28,1.9,2.8,29.0,74.8,2025-11-29 10:55:32
692a6ec79e8a10ab3f8c4448,142.3,1.9,3.1,29.1,75.1,2025-11-29 10:55:52
692a6edb9e8a10ab3f8c4449,137.47,1.7,2.6,29.1,75.7,2025-11-29 10:56:12
692a6eef9e8a10ab3f8c444a,130.19,1.8,1.9,29.1,74.7,2025-11-29 10:56:32
692a6f039e8a10ab3f8c444b,126.21,2.5,3.9,29.1,74.8,2025-11-29 10:56:52
692a6f179e8a10ab3f8c444c,119.92,2.1,4.6,29.1,74.3,2025-11-29 10:57:12
692a6f2b9e8a10ab3f8c444d,124.96,1.1,1.7,29.1,74.2,2025-11-29 10:57:32
692a6f3f9e8a10ab3f8c444e,120.67,1.6,2.0,29.2,74.1,2025-11-29 10:57:52
692a6f539e8a10ab3f8c444f,122.19,1.5,1.6,29.1,74.0,2025-11-29 10:58:12
692a6f679e8a10ab3f8c4450,122.19,2.6,4.6,29.1,74.1,2025-11-29 10:58:32
692a6f7b9e8a10ab3f8c4451,122.8,0.7,0.7,29.1,74.2,2025-11-29 10:58:52
692a6f8f9e8a10ab3f8c4452,124.96,1.9,2.1,29.1,74.3,2025-11-29 10:59:12
692a6fa39e8a10ab3f8c4453,136.96,2.7,3.9,29.1,74.3,2025-11-29 10:59:32
692a6fb79e8a10ab3f8c4454,127.16,1.4,1.9,29.1,74.4,2025-11-29 10:59:52
692a6fcb9e8a10ab3f8c4455,140.38,2.1,2.9,29.1,74.4,2025-11-29 11:00:12
692a6fdf9e8a10ab3f8c4456,131.98,3.5,12.2,29.1,74.3,2025-11-29 11:00:32
692a6ff39e8a10ab3f8c4457,131.81,3.1,3.4,29.1,74.1,2025-11-29 11:00:52
692a70079e8a10ab3f8c4458,127.63,3.8,5.8,29.1,74.3,2025-11-29 11:01:12
692a701b9e8a10ab3f8c4459,122.03,1.8,16.3,29.1,74.2,2025-11-29 11:01:32
692a702f9e8a10ab3f8c445a,119.77,2.2,2.4,29.1,74.2,2025-11-29 11:01:52
692a70439e8a10ab3f8c445b,117.69,1.2,1.3,29.2,74.2,2025-11-29 11:02:12
692a70579e8a10ab3f8c445c,116.66,2.7,8.8,29.2,74.1,2025-11-29 11:02:32
692a706b9e8a10ab3f8c445d,116.95,2.8,3.2,29.2,73.9,2025-11-29 11:02:52
692a707f9e8a10ab3f8c445e,115.05,3.2,5.9,29.2,74.0,2025-11-29 11:03:12
692a70939e8a10ab3f8c445f,114.19,1.8,2.6,29.1,73.9,2025-11-29 11:03:32
692a70a79e8a10ab3f8c4460,115.34,1.6,2.0,29.1,73.8,2025-11-29 11:03:52
692a70bb9e8a10ab3f8c4461,115.49,2.5,2.7,29.1,73.8,2025-11-29 11:04:12
692a70cf9e8a10ab3f8c4462,113.47,1.7,2.6,29.2,73.9,2025-11-29 11:04:32
692a70e39e8a10ab3f8c4463,115.2,1.2,1.3,29.1,73.9,2025-11-29 11:04:52
692a70f79e8a10ab3f8c4464,117.1,3.3,6.8,29.1,73.9,2025-11-29 11:05:12
692a724b89680975d517c50e,127.16,1.6,2.0,29.2,73.8,2025-11-29 11:10:52
692a725f89680975d517c50f,127.31,2.6,3.6,29.2,73.7,2025-11-29 11:11:12
692a727389680975d517c510,127.16,2.5,2.7,29.2,74.1,2025-11-29 11:11:32
692a728789680975d517c511,127.16,2.0,2.3,29.2,73.9,2025-11-29 11:11:52
692a729b89680975d517c512,127.31,1.8,2.8,29.3,73.8,2025-11-29 11:12:12
692a72af89680975d517c513,127.31,1.6,2.1,29.3,74.1,2025-11-29 11:12:32
692a72c389680975d517c514,127.16,2.5,4.8,29.3,74.4,2025-11-29 11:12:52
692a72d789680975d517c515,127.95,1.8,12.2,29.3,73.8,2025-11-29 11:13:12
692a72eb89680975d517c516,126.52,1.8,1.9,29.3,73.6,2025-11-29 11:13:32
692a72ff89680975d517c517,126.21,2.1,2.3,29.3,73.6,2025-11-29 11:13:52
692a731389680975d517c518,126.37,2.5,3.5,29.4,73.5,2025-11-29 11:14:12
692a732789680975d517c519,126.68,3.2,4.1,29.3,73.4,2025-11-29 11:14:32
692a733b89680975d517c51a,124.18,2.2,11.9,29.3,73.4,2025-11-29 11:14:52
692a734f89680975d517c51b,124.49,3.7,5.0,29.4,73.4,2025-11-29 11:15:12
692a736389680975d517c51c,126.05,1.4,1.5,29.3,73.2,2025-11-29 11:15:32
692a737789680975d517c51d,124.34,2.8,4.8,29.3,73.4,2025-11-29 11:15:52
692a738b89680975d517c51e,127.95,2.7,4.6,29.3,73.2,2025-11-29 11:16:12
692a739f89680975d517c51f,123.41,1.8,2.9,29.3,73.2,2025-11-29 11:16:32
692a73b389680975d517c520,121.27,2.5,30.6,29.3,73.2,2025-11-29 11:16:52
692a73c789680975d517c521,120.07,1.8,3.4,29.3,73.3,2025-11-29 11:17:12
692a73db89680975d517c522,119.77,3.4,4.5,29.3,73.2,2025-11-29 11:17:32
692a73ef89680975d517c523,119.32,2.4,2.6,29.3,73.2,2025-11-29 11:17:52
692a740389680975d517c524,119.17,2.4,5.3,29.3,73.1,2025-11-29 11:18:12
692a741789680975d517c525,117.1,2.2,2.4,29.3,73.2,2025-11-29 11:18:32
692a742b89680975d517c526,116.07,2.7,3.0,29.3,73.1,2025-11-29 11:18:52
692a743f89680975d517c527,117.83,3.7,4.6,29.2,73.1,2025-11-29 11:19:12
692a745389680975d517c528,117.83,4.1,6.1,29.3,73.1,2025-11-29 11:19:32
692a746789680975d517c529,117.39,3.2,3.6,29.3,73.1,2025-11-29 11:19:52
692a747b89680975d517c52a,117.39,2.3,3.6,29.3,73.1,2025-11-29 11:20:12
692a748f89680975d517c52b,115.05,2.3,2.8,29.2,73.0,2025-11-29 11:20:32
692a74a389680975d517c52c,113.47,2.2,2.4,29.3,73.0,2025-11-29 11:20:52
692a74b789680975d517c52d,113.19,2.1,2.9,29.3,72.8,2025-11-29 11:21:12
692a74cb89680975d517c52e,116.36,1.9,2.2,29.3,72.9,2025-11-29 11:21:32
692a74df89680975d517c52f,112.33,2.8,3.0,29.3,72.9,2025-11-29 11:21:52
692a74f389680975d517c530,111.34,3.3,4.6,29.3,72.7,2025-11-29 11:22:12
692a750789680975d517c531,111.34,1.4,1.7,29.4,72.7,2025-11-29 11:22:32
692a751b89680975d517c532,110.36,2.6,3.2,29.3,72.8,2025-11-29 11:22:52
692a752f89680975d517c533,110.08,2.3,2.5,29.3,72.8,2025-11-29 11:23:12
692a754389680975d517c534,109.11,2.0,2.9,29.3,72.7,2025-11-29 11:23:32
692a755789680975d517c535,110.08,4.1,4.4,29.3,72.7,2025-11-29 11:23:52
692a756b89680975d517c536,110.5,1.3,2.4,29.3,72.6,2025-11-29 11:24:12
692a757f89680975d517c537,109.25,1.9,2.2,29.3,72.7,2025-11-29 11:24:32
692a759389680975d517c538,110.92,2.9,3.2,29.4,72.8,2025-11-29 11:24:52
692a75a789680975d517c539,108.97,2.5,2.7,29.4,72.7,2025-11-29 11:25:12
692a75bb89680975d517c53a,107.6,1.8,2.0,29.4,72.6,2025-11-29 11:25:32
692a75cf89680975d517c53b,108.01,1.7,1.9,29.3,72.7,2025-11-29 11:25:52
692a75e389680975d517c53c,105.83,1.2,1.4,29.4,72.6,2025-11-29 11:26:12
692a75f789680975d517c53d,106.24,1.5,2.5,29.4,72.6,2025-11-29 11:26:32
692a760b89680975d517c53e,107.32,3.2,22.0,29.4,72.6,2025-11-29 11:26:52
692a761f89680975d517c53f,106.24,2.1,2.3,29.4,72.6,2025-11-29 11:27:12
692a763389680975d517c540,105.43,3.2,5.3,29.4,72.6,2025-11-29 11:27:32
692a764789680975d517c541,105.43,1.4,1.5,29.4,72.7,2025-11-29 11:27:52
692a765b89680975d517c542,105.56,2.8,4.3,29.4,72.7,2025-11-29 11:28:12
692a766f89680975d517c543,105.83,3.4,5.9,29.4,72.6,2025-11-29 11:28:32
692a768389680975d517c544,105.83,2.7,3.3,29.4,72.5,2025-11-29 11:28:52
692a769789680975d517c545,106.24,1.7,1.8,29.4,72.5,2025-11-29 11:29:12
692a76ab89680975d517c546,105.43,1.7,3.2,29.4,72.5,2025-11-29 11:29:32
692a76bf89680975d517c547,107.05,3.0,3.6,29.4,72.6,2025-11-29 11:29:52
692a76d389680975d517c548,107.87,1.4,1.7,29.4,72.8,2025-11-29 11:30:12
692a76e789680975d517c549,105.16,2.2,2.4,29.5,72.9,2025-11-29 11:30:32
692a76fb89680975d517c54a,105.97,1.7,2.5,29.4,72.9,2025-11-29 11:30:52
692a770f89680975d517c54b,105.43,3.8,4.2,29.5,72.9,2025-11-29 11:31:12
692a772389680975d517c54c,104.63,2.9,3.2,29.4,72.8,2025-11-29 11:31:32
692a773789680975d517c54d,105.16,3.2,3.8,29.5,72.9,2025-11-29 11:31:52
692a774b89680975d517c54e,103.83,3.4,4.6,29.4,72.8,2025-11-29 11:32:12
692a775f89680975d517c54f,104.09,2.9,3.2,29.5,72.9,2025-11-29 11:32:32
692a777389680975d517c550,103.96,2.5,39.8,29.5,72.9,2025-11-29 11:32:52
692a778789680975d517c551,102.77,1.4,1.5,29.5,72.8,2025-11-29 11:33:12
692a779b89680975d517c552,101.85,1.5,1.6,29.5,72.9,2025-11-29 11:33:32
692a77af89680975d517c553,102.77,2.8,14.8,29.5,73.0,2025-11-29 11:33:52
692a77c389680975d517c554,103.3,2.3,6.3,29.4,72.8,2025-11-29 11:34:12
692a77d789680975d517c555,102.64,2.6,3.0,29.5,72.7,2025-11-29 11:34:32
692a77eb89680975d517c556,103.43,3.3,5.8,29.5,72.9,2025-11-29 11:34:52
692a77ff89680975d517c557,103.96,1.9,2.1,29.5,73.2,2025-11-29 11:35:12
692a781389680975d517c558,103.83,2.5,3.8,29.5,73.2,2025-11-29 11:35:32
692a782789680975d517c559,103.16,2.8,3.0,29.5,73.1,2025-11-29 11:35:52
692a783b89680975d517c55a,102.38,3.1,3.6,29.5,73.2,2025-11-29 11:36:12
692a784f89680975d517c55b,101.85,3.3,5.1,29.5,73.4,2025-11-29 11:36:32
692a786389680975d517c55c,101.59,3.7,4.9,29.5,73.2,2025-11-29 11:36:52
692a787789680975d517c55d,101.85,1.7,3.2,29.5,73.2,2025-11-29 11:37:12
692a788b89680975d517c55e,101.59,3.4,3.8,29.5,73.4,2025-11-29 11:37:32
692a789f89680975d517c55f,101.85,3.0,4.1,29.5,73.4,2025-11-29 11:37:52
692a78b389680975d517c560,101.98,1.1,2.1,29.5,73.4,2025-11-29 11:38:12
692a78c789680975d517c561,102.64,1.8,5.1,29.5,73.3,2025-11-29 11:38:32
692a78db89680975d517c562,102.11,1.7,2.3,29.5,73.2,2025-11-29 11:38:52
692a78ef89680975d517c563,101.98,2.9,3.9,29.5,73.2,2025-11-29 11:39:12
692a790389680975d517c564,101.85,2.6,2.8,29.5,73.1,2025-11-29 11:39:32
692a791789680975d517c565,101.2,2.7,3.2,29.5,73.1,2025-11-29 11:39:52
692a792b89680975d517c566,100.04,3.3,4.0,29.5,73.1,2025-11-29 11:40:12
692a793f89680975d517c567,100.04,1.3,2.5,29.5,73.1,2025-11-29 11:40:32
692a795389680975d517c568,99.01,1.7,3.0,29.5,73.1,2025-11-29 11:40:52
692a796789680975d517c569,99.01,2.5,7.4,29.5,73.4,2025-11-29 11:41:12
692a797b89680975d517c56a,99.78,3.0,6.7,29.6,73.7,2025-11-29 11:41:32
692a798f89680975d517c56b,97.87,1.8,2.2,29.6,73.5,2025-11-29 11:41:52
692a79a389680975d517c56c,99.65,1.3,1.5,29.6,73.3,2025-11-29 11:42:12
692a79b789680975d517c56d,99.52,2.1,2.6,29.6,73.3,2025-11-29 11:42:32
692a79cb89680975d517c56e,99.78,2.8,4.1,29.6,73.3,2025-11-29 11:42:52
692a79df89680975d517c56f,100.42,3.5,3.8,29.6,73.2,2025-11-29 11:43:12
692a79f389680975d517c570,100.55,2.4,4.9,29.6,73.2,2025-11-29 11:43:32
692a7a0789680975d517c571,101.72,2.2,2.3,29.6,73.2,2025-11-29 11:43:52
692a7a1b89680975d517c572,99.78,3.6,4.1,29.6,73.2,2025-11-29 11:44:12
692a7a2f89680975d517c573,99.78,1.0,1.3,29.5,73.2,2025-11-29 11:44:32
692a7a4389680975d517c574,99.78,1.7,6.2,29.6,73.1,2025-11-29 11:44:52
692a7a5789680975d517c575,99.78,1.7,3.2,29.5,73.1,2025-11-29 11:45:12
692a7a6b89680975d517c576,99.65,3.8,5.5,29.6,73.1,2025-11-29 11:45:32
692a7a7f89680975d517c577,99.91,2.1,3.6,29.5,73.2,2025-11-29 11:45:52
692a7a9389680975d517c578,99.27,2.2,2.4,29.6,73.1,2025-11-29 11:46:12
692a7aa789680975d517c579,99.52,2.4,3.3,29.6,73.1,2025-11-29 11:46:32
692a7abb89680975d517c57a,100.68,2.4,3.2,29.6,73.2,2025-11-29 11:46:52
692a7acf89680975d517c57b,98.25,1.7,1.8,29.5,73.1,2025-11-29 11:47:12
692a7ae389680975d517c57c,98.63,3.1,3.7,29.5,73.0,2025-11-29 11:47:32
692a7af789680975d517c57d,99.78,2.5,2.7,29.5,72.9,2025-11-29 11:47:52
692a7b0b89680975d517c57e,99.78,3.0,3.6,29.5,73.0,2025-11-29 11:48:12
692a7b1f89680975d517c57f,100.04,2.5,3.4,29.5,73.1,2025-11-29 11:48:32
692a7b3389680975d517c580,99.27,4.0,4.8,29.5,73.1,2025-11-29 11:48:52
692a7b4789680975d517c581,98.88,3.4,4.1,29.5,73.1,2025-11-29 11:49:12
692a7b5b89680975d517c582,99.78,3.4,14.1,29.5,73.0,2025-11-29 11:49:32
692a7b6f89680975d517c583,97.62,3.0,4.1,29.5,73.0,2025-11-29 11:49:52
692a7b8389680975d517c584,99.01,3.8,14.3,29.5,73.0,2025-11-29 11:50:12
692a7b9789680975d517c585,100.04,3.2,5.6,29.5,73.0,2025-11-29 11:50:32
692a7bab89680975d517c586,93.65,2.3,2.5,29.5,73.0,2025-11-29 11:50:52
692a7bbf89680975d517c587,95.86,2.8,5.3,29.5,73.0,2025-11-29 11:51:12
692a7bd389680975d517c588,93.65,2.6,2.8,29.5,72.9,2025-11-29 11:51:32
692a7be789680975d517c589,93.65,2.2,3.0,29.5,72.9,2025-11-29 11:51:52
692a7bfb89680975d517c58a,93.65,3.5,5.8,29.5,72.8,2025-11-29 11:52:12
692a7c0f89680975d517c58b,93.65,2.8,3.1,29.5,72.9,2025-11-29 11:52:32
692a7c2389680975d517c58c,93.65,2.7,3.9,29.5,72.7,2025-11-29 11:52:52
692a7c3789680975d517c58d,93.4,1.7,2.0,29.5,72.7,2025-11-29 11:53:12
692a7c4b89680975d517c58e,93.4,2.4,2.8,29.5,72.7,2025-11-29 11:53:32
692a7c5f89680975d517c58f,93.65,3.1,4.4,29.5,72.7,2025-11-29 11:53:52
692a7c7389680975d517c590,93.65,2.8,4.7,29.5,72.7,2025-11-29 11:54:12
692a7c8789680975d517c591,93.65,3.2,4.2,29.5,72.8,2025-11-29 11:54:32
692a7c9b89680975d517c592,93.65,3.6,4.0,29.5,72.7,2025-11-29 11:54:52
692a7caf89680975d517c593,92.07,3.3,32.2,29.5,72.7,2025-11-29 11:55:12
692a7cc389680975d517c594,92.92,2.2,2.9,29.5,72.6,2025-11-29 11:55:32
692a7cd789680975d517c595,93.16,1.8,2.6,29.5,72.6,2025-11-29 11:55:52
692ab11b89680975d517c596,82.06,2.6,3.2,30.1,66.0,2025-11-29 15:38:52
692ab12f89680975d517c597,83.39,1.6,1.7,30.1,66.0,2025-11-29 15:39:12
692ab14489680975d517c598,84.39,4.2,5.5,30.1,66.1,2025-11-29 15:39:32
692ab15789680975d517c599,84.62,2.0,3.0,30.1,66.2,2025-11-29 15:39:52
692ab16b89680975d517c59a,85.18,1.3,1.4,30.1,66.1,2025-11-29 15:40:12
692ab17f89680975d517c59b,89.45,1.7,8.3,30.1,66.0,2025-11-29 15:40:32
692ab19389680975d517c59c,89.34,3.3,4.7,30.1,66.1,2025-11-29 15:40:52
692ab1a789680975d517c59d,82.72,3.6,6.0,30.1,66.1,2025-11-29 15:41:12
692ab1bb89680975d517c59e,82.06,1.9,3.6,30.1,66.4,2025-11-29 15:41:32
692ab1cf89680975d517c59f,80.53,2.5,2.7,30.1,66.3,2025-11-29 15:41:52
692ab1e389680975d517c5a0,79.56,3.1,3.8,30.1,66.3,2025-11-29 15:42:12
692ab1f789680975d517c5a1,82.61,1.9,2.9,30.1,66.3,2025-11-29 15:42:32
692ab20b89680975d517c5a2,82.39,1.3,2.0,30.1,66.2,2025-11-29 15:42:52
692ab21f89680975d517c5a3,82.39,4.2,6.6,30.1,66.3,2025-11-29 15:43:12
692ab23389680975d517c5a4,81.95,0.9,1.4,30.1,66.4,2025-11-29 15:43:32
692ab24789680975d517c5a5,81.62,2.2,2.6,30.1,66.2,2025-11-29 15:43:52
692ab25b89680975d517c5a6,82.5,3.3,5.3,30.1,66.3,2025-11-29 15:44:12
692ab26f89680975d517c5a7,82.83,2.9,4.8,30.1,66.3,2025-11-29 15:44:32
692ab28389680975d517c5a8,81.95,2.2,2.4,30.1,66.5,2025-11-29 15:44:52
692ab29789680975d517c5a9,86.78,3.8,4.7,30.1,66.4,2025-11-29 15:45:12
